system:index,B2,B3,B4,B8,NDVI,landcover,random,.geo
1_1_0_0,0.08595,0.0906,0.0851,0.1398,0.24321918,0,0.2007263566281141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_1,0.08325,0.0853,0.0777,0.1371,0.27653632,0,0.5255651847193308,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_2,0.07865,0.08725,0.07775,0.1351,0.26943862,0,0.6696436475908298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_3,0.08495,0.09445,0.0897,0.1474,0.24335726,0,0.4924573146057465,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_5,0.1091,0.1211,0.1218,0.1861,0.20883407,0,0.6871534547627884,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_6,0.0977,0.10705,0.10595,0.1516,0.17724715,0,0.03053804130797433,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_7,0.10635,0.1158,0.1214,0.1469,0.09504286,0,0.49053192244477295,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_8,0.1055,0.1121,0.1127,0.147,0.13207547,0,0.3812000535284279,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_9,0.0999,0.10475,0.10285,0.1358,0.13806833,0,0.022704680633625518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_10,0.10425,0.1097,0.112,0.1324,0.083469726,0,0.3994522229044729,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_11,0.1144,0.1214,0.1249,0.152,0.097869255,0,0.592818641411979,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_13,0.08315,0.0943,0.08575,0.1541,0.28496978,0,0.4143589227367229,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_14,0.09365,0.1004,0.09725,0.1451,0.19744171,0,0.06454527621901995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_16,0.106,0.1176,0.1216,0.1537,0.116600044,0,0.0917055085083297,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_19,0.0914,0.1008,0.0999,0.1478,0.19337909,0,0.46434280825081653,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_20,0.0796,0.0845,0.07425,0.1601,0.3663324,0,0.5467352221843597,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_21,0.07995,0.08795,0.07795,0.1546,0.3296065,0,0.5697198966334457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_22,0.1506,0.1619,0.1737,0.189,0.042183597,0,0.6858805034666131,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_25,0.1118,0.1254,0.1252,0.1998,0.22953844,0,0.5546190195046428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_27,0.0949,0.09985,0.10215,0.1348,0.13779278,0,0.6490533308908378,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_30,0.0952,0.1015,0.09595,0.1223,0.1207331,0,0.4775159056302408,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_32,0.07875,0.08785,0.0741,0.1618,0.37176767,0,0.36744290242277167,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_33,0.1461,0.1549,0.1662,0.1915,0.07072965,0,0.5001513652756385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_34,0.1009,0.1112,0.1095,0.1586,0.18314064,0,0.4968727686269022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_36,0.1055,0.1164,0.1063,0.2098,0.32742804,0,0.6984341073873019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_37,0.0846,0.0902,0.0876,0.1565,0.28226137,0,0.5045896612211043,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_39,0.1098,0.1166,0.12,0.1336,0.05362776,0,0.3927322353062974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_40,0.1177,0.1261,0.1249,0.1395,0.055219397,0,0.29598847631035297,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_41,0.1156,0.1185,0.1181,0.1248,0.027583344,0,0.3657356555344611,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_42,0.09335,0.09095,0.0838,0.10305,0.103023805,0,0.3374448951607455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_43,0.09885,0.10145,0.09815,0.1229,0.11196563,0,0.3809478282621236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_45,0.0869,0.0973,0.0961,0.1363,0.1729776,0,0.4971849435339104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_46,0.07625,0.08535,0.07595,0.1658,0.37166497,0,0.6250162144052848,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_47,0.07915,0.0875,0.07785,0.1671,0.36436006,0,0.6518369658114074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_48,0.0889,0.0952,0.09055,0.1456,0.23311457,0,0.1523704011268655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_49,0.0928,0.1005,0.09805,0.1179,0.09191943,0,0.42747257058553534,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_50,0.0967,0.1001,0.09375,0.09725,0.018324606,0,0.3859778822173432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_51,0.118,0.121,0.1143,0.1165,0.009532062,0,0.11364002828881559,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_52,0.1254,0.1308,0.1216,0.1154,-0.02616034,0,0.022543052584592882,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_53,0.10215,0.10415,0.10275,0.1028,2.4321768E-4,0,0.04844739562602696,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_55,0.1358,0.1521,0.1602,0.1976,0.10452769,0,0.2920423874082827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_57,0.07825,0.08905,0.0847,0.1391,0.24307415,0,0.6649150899236853,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_59,0.08965,0.0975,0.09705,0.1182,0.09825781,0,0.08458800769700792,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_62,0.09295,0.09035,0.0805,0.0769,-0.022871673,0,0.01492604455341362,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_63,0.09595,0.09885,0.08905,0.0821,-0.040607687,0,0.4854695626696026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_65,0.121,0.1227,0.1107,0.10495,-0.026663544,0,0.2107592756922324,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_67,0.08885,0.09755,0.09645,0.1787,0.29892784,0,0.16824529318045678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_70,0.09185,0.09575,0.09195,0.10125,0.04813665,0,0.3881384802966238,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_71,0.07965,0.0817,0.06815,0.06425,-0.029456185,0,0.6641218099901929,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_72,0.0765,0.07875,0.06185,0.05515,-0.057264972,0,0.6708975611998476,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_75,0.0774,0.07665,0.0621,0.05895,-0.026022315,0,0.6034467267440924,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_78,0.08505,0.09305,0.08845,0.1737,0.32519552,0,0.3904088007178843,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_79,0.106,0.1152,0.1164,0.1507,0.12841631,0,0.10706662386224275,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_81,0.08265,0.0889,0.07865,0.07745,-0.007687367,0,0.4504740500340755,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_82,0.0762,0.0778,0.06375,0.0558,-0.066499375,0,0.21249848843751773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_83,0.07525,0.07985,0.0601,0.0533,-0.059964724,0,0.5086427527503118,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_84,0.07515,0.07915,0.05865,0.0499,-0.08060801,0,0.3637987954496946,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_87,0.07675,0.0773,0.0566,0.04735,-0.088985085,0,0.04160533203134631,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_88,0.0777,0.0848,0.0777,0.1496,0.31632206,0,0.044336496980722395,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_89,0.0852,0.08995,0.0884,0.1388,0.22183098,0,0.3356228952877226,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_91,0.09115,0.0962,0.0925,0.09865,0.032173686,0,0.2755628085630094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_93,0.07585,0.0776,0.0631,0.05265,-0.09028079,0,0.41955304467642596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_94,0.07625,0.07725,0.0599,0.05035,-0.08662133,0,0.5030840478317076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_96,0.0758,0.079,0.06,0.0482,-0.10905729,0,0.2664371703125321,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_98,0.076,0.0775,0.0577,0.04855,-0.08611767,0,0.4555143865697342,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_99,0.09165,0.0993,0.0933,0.1497,0.23209877,0,0.4480461041508331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_101,0.0931,0.10125,0.1014,0.1123,0.051006075,0,0.6431059186492298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_103,0.0771,0.0789,0.0627,0.05405,-0.074089974,0,0.32445563131948796,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_104,0.0738,0.07585,0.06025,0.05145,-0.078782454,0,0.4684187569030982,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_105,0.07415,0.0736,0.05905,0.0496,-0.08697653,0,0.5357781328374503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_106,0.0746,0.0757,0.0583,0.0493,-0.083643116,0,0.09221538458543055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_107,0.07445,0.0758,0.05845,0.04745,-0.10387158,0,0.14737609294240683,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_109,0.0757,0.0769,0.05685,0.0463,-0.10227823,0,0.5161701530132016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_111,0.09595,0.1035,0.1107,0.1255,0.06265876,0,0.2949807094425001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_113,0.08105,0.0819,0.0667,0.06015,-0.051635753,0,3.3146443252618507E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_114,0.07765,0.07875,0.0645,0.05705,-0.061291616,0,0.592606459197375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_115,0.07535,0.0769,0.0609,0.0517,-0.081705146,0,0.5086370705290695,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_118,0.0737,0.0748,0.05755,0.0453,-0.11910548,0,0.3606119713145054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_119,0.0739,0.0747,0.05645,0.04545,-0.107948974,0,0.015390890620755715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_120,0.07635,0.0753,0.0553,0.0453,-0.0994036,0,0.14250815755665236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_0,0.0617,0.0576,0.04545,0.0362,-0.11328838,1,0.2880239234100933,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_2,0.05825,0.05755,0.0444,0.03425,-0.12905277,1,0.3274716440042007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_3,0.0594,0.05905,0.0452,0.03465,-0.13212273,1,0.2025998624849833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_4,0.0591,0.05885,0.04485,0.0357,-0.11359402,1,0.3721738621340229,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_5,0.0584,0.05755,0.04515,0.0362,-0.11001842,1,0.6189756217310937,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_6,0.0578,0.05775,0.045,0.0359,-0.11248456,1,0.6679125749923241,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_7,0.05775,0.05825,0.0457,0.0351,-0.13118808,1,0.5161244608941017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_8,0.05765,0.0591,0.04395,0.0355,-0.106356174,1,0.07651194618469548,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_10,0.0586,0.05885,0.04405,0.03535,-0.109571815,1,0.3825567209165718,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_11,0.05915,0.0593,0.0466,0.03615,-0.12628396,1,0.4821964734698806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_12,0.057,0.05825,0.04635,0.03695,-0.11284513,1,0.6423612968115806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_13,0.05855,0.0573,0.04435,0.0364,-0.09845197,1,0.4796518748423074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_16,0.0578,0.05925,0.04535,0.0361,-0.11356661,1,0.18237295540866194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_17,0.0599,0.0581,0.04385,0.0362,-0.09556526,1,0.4097386041573349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_19,0.0584,0.05845,0.0447,0.03695,-0.09491734,1,0.47180898954432504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_21,0.0583,0.05895,0.04565,0.03635,-0.113414645,1,0.13821327495574875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_23,0.0564,0.05895,0.04585,0.03665,-0.11151519,1,0.5768587372064121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_24,0.05725,0.05785,0.04445,0.0358,-0.107788175,1,0.5207996134322411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_25,0.0582,0.0585,0.0449,0.0349,-0.12531331,1,0.4660442261270916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_26,0.0584,0.0584,0.04535,0.03545,-0.12252475,1,0.3482105732982599,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_27,0.05765,0.05995,0.0455,0.0359,-0.117936105,1,0.0885617455297838,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_28,0.058,0.0575,0.04385,0.0353,-0.108022735,1,0.3243409570515622,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_30,0.0588,0.0607,0.04605,0.0365,-0.11568748,1,0.014761251799293107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_32,0.0568,0.0601,0.0457,0.0366,-0.11057105,1,0.08119850784111882,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_33,0.05985,0.05945,0.04615,0.03805,-0.09619952,1,0.5614699372793358,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_35,0.05785,0.0586,0.04475,0.03615,-0.10630408,1,0.5507067309194489,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_36,0.0573,0.05845,0.04525,0.0359,-0.11521871,1,0.20188728444547355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_37,0.0581,0.05785,0.046,0.0346,-0.1414392,1,0.5904709340522212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_39,0.0552,0.0564,0.0448,0.0345,-0.12988651,1,0.4132369190479531,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_40,0.059,0.0593,0.04635,0.0364,-0.12024166,1,0.6956194559959752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_42,0.0587,0.0611,0.0468,0.0365,-0.123649456,1,0.6188161893207034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_43,0.0587,0.0611,0.0468,0.0365,-0.123649456,1,0.5574780598089101,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_45,0.0587,0.05795,0.0456,0.03685,-0.10612491,1,0.35084150321529084,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_46,0.0559,0.0586,0.0457,0.0362,-0.11599508,1,0.2706936366912921,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_47,0.0572,0.05965,0.04525,0.0358,-0.116594695,1,0.06648359636870182,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_48,0.0563,0.0596,0.0452,0.03485,-0.12929419,1,0.09320280610022902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_50,0.0586,0.0581,0.0447,0.0358,-0.11055903,1,0.4251210565729713,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_51,0.0596,0.05955,0.0458,0.0374,-0.10096154,1,0.39153796205470914,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_52,0.05955,0.0602,0.0455,0.0369,-0.10436894,1,0.6060569274265802,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_53,0.0603,0.0595,0.04565,0.0372,-0.101991564,1,0.2530461653122662,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_54,0.0603,0.0595,0.04565,0.0372,-0.101991564,1,0.2286551560472807,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_56,0.05965,0.05915,0.0464,0.03645,-0.12009657,1,0.11399999113569981,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_58,0.05885,0.0584,0.0456,0.036,-0.11764709,1,0.031249570468961263,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_60,0.06155,0.05895,0.0454,0.0362,-0.112745084,1,0.3155224691809475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_61,0.06,0.058,0.0462,0.03485,-0.140037,1,0.21288529640710285,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_63,0.05995,0.05845,0.04715,0.03655,-0.12664278,1,0.19075246002599144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_66,0.0592,0.06025,0.0461,0.0374,-0.10419164,1,0.5941925435512473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_67,0.05845,0.0564,0.0461,0.0375,-0.102870815,1,0.6563493867473762,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_68,0.0582,0.05835,0.04485,0.03545,-0.11706101,1,0.15400820887216515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_70,0.0607,0.06015,0.04655,0.03675,-0.11764704,1,0.07294459975100898,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_71,0.0595,0.0597,0.047,0.03685,-0.12104946,1,0.29538734522751675,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_72,0.06,0.0591,0.04595,0.0362,-0.1186853,1,0.14090751042958394,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_73,0.059,0.06085,0.04645,0.0369,-0.11457711,1,0.09496235569178357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_74,0.05865,0.0609,0.0475,0.0371,-0.12293146,1,0.6490745146631944,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_75,0.05865,0.0609,0.0475,0.0371,-0.12293146,1,0.2970282887392818,"{""type"":""MultiPoint"",""coordinates"":[]}"
